Order ID,Customer ID,Product ID,Product Category,Order Date,Quantity,Unit Price,Order Value
978e028b-41ec-4013-9500-4317784c3b3d,04e83bbd-1458-4ada-b9eb-ce8bba1677fa,558e66e0-047e-4810-8200-a5cddc8c7c57,Pineapple,22-04-2023,10,50.69,506.94
978e028b-41ec-4013-9500-4317784c3b3d,04e83bbd-1458-4ada-b9eb-ce8bba1677fa,d36d024f-3149-4494-af58-cc0b8df52a92,Mango,22-04-2023,9,26.73,240.55
978e028b-41ec-4013-9500-4317784c3b3d,04e83bbd-1458-4ada-b9eb-ce8bba1677fa,c4cf5b93-682a-433e-b5b5-06728d594cf3,Garlic,22-04-2023,9,96,863.97
978e028b-41ec-4013-9500-4317784c3b3d,04e83bbd-1458-4ada-b9eb-ce8bba1677fa,87640580-0fd9-43bc-a493-33192f4162c5,Watermelon,22-04-2023,2,6.53,13.06
c1df33ef-fb5d-4c4d-9bfd-7e39e049cac0,5a02dddd-0b90-4daa-9e77-c1507e3dc46d,d36d024f-3149-4494-af58-cc0b8df52a92,Mango,07-03-2023,8,42.78,342.25
c1df33ef-fb5d-4c4d-9bfd-7e39e049cac0,5a02dddd-0b90-4daa-9e77-c1507e3dc46d,771faf3e-ec95-4b2d-be2a-4f336bab097e,Spinach,07-03-2023,4,7.63,30.54
c1df33ef-fb5d-4c4d-9bfd-7e39e049cac0,5a02dddd-0b90-4daa-9e77-c1507e3dc46d,0deaf92e-e104-4410-87b6-3194eb20b5cb,Grapes,07-03-2023,4,151.53,606.11
c1df33ef-fb5d-4c4d-9bfd-7e39e049cac0,5a02dddd-0b90-4daa-9e77-c1507e3dc46d,79d60e6d-b624-4b5d-8f0d-6d2c41d22352,Sugar,07-03-2023,7,130.84,915.87
4ad8a607-b421-4e3b-ac92-5f3014669537,56c5ba75-19a9-467d-8258-37546a089f13,bf202d8c-cbe6-4a88-aac4-91e222de5a58,Tomato,07-03-2023,5,70.99,354.97
4ad8a607-b421-4e3b-ac92-5f3014669537,56c5ba75-19a9-467d-8258-37546a089f13,c7a0d7e1-083e-40f6-9fed-31dfe2b08df2,Flour,07-03-2023,5,156.81,784.05
